rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Robotics Academy,Summer Program,Software Engineering,High,Residential,10-12,0.719,https://www.cmu.edu/pre-college/,"Hands-on robotics program covering robot design, programming, and autonomous systems. Work with LEGO robotics, VEX systems, and advanced robotics platforms. Learn about sensors, actuators, and control..."
2,Stanford Pre-Collegiate Robotics,Summer Program,Software Engineering,High,Residential,9-12,0.604,https://summerinstitutes.spcs.stanford.edu/,"Hands-on robotics program covering robot design, programming, sensors, and autonomous systems. Build and program robots for competitions and challenges. Learn mechanical design, electronics, and contr..."
3,CMU Robotics Academy - Autonomous Vehicles,Workshop/Training,Robotics,Low,Classroom,10-12,0.535,https://www.cs2n.org/curriculum,"Explore self-driving car technology through robotics. Learn sensors for navigation, path planning algorithms, obstacle avoidance, and decision-making systems. Current real-world applications. This Cur..."
4,SkillsUSA Mechatronics,Other,Engineering,Low,Regional and national competition sites,9-12,0.513,https://www.skillsusa.org/competitions/skillsusa-championships/,"Integrated systems competition combining mechanics, electronics, and computer programming. Students install, program, and troubleshoot automated manufacturing systems. Covers PLCs, pneumatics, robotic..."
5,CMU Robotics Academy - Arduino Robotics,Workshop/Training,Software Engineering,Low,Classroom,8-12,0.510,https://www.cs2n.org/curriculum,"Learn robotics and electronics using Arduino platform. Build sensors, actuators, and complete robot systems from scratch. Programming in C/C++ with hardware integration. This Curriculum focuses on Rob..."
6,Pioneer Academics - Engineering and Robotics,Other,Engineering,High,Online,11-12,0.488,https://pioneeracademics.com/subjects/,"Research in mechanical, electrical, or computer engineering. Work with engineering professor on topics like robotics, control systems, or engineering design. Study automation, sensor systems, or mecha..."
7,CMU Robotics Academy - Robotics Engineering 2,Workshop/Training,Engineering,Low,Classroom,9-12,0.485,https://www.roboticseducation.org/,"Advanced robotics engineering with kinematics, dynamics, path planning, and computer vision. Design complex autonomous systems. Prepares students for collegiate-level robotics. This Curriculum focuses..."
8,CMU Robotics Academy - Robotics Fundamentals,Workshop/Training,Software Engineering,Low,Classroom,6-8,0.479,https://www.roboticseducation.org/,"Foundational robotics course covering robot anatomy, sensors, motors, programming basics, and engineering design. Platform-agnostic concepts applicable to any robotics system. Middle school entry poin..."
9,Advanced Robotics and Programming,Other,Software Engineering,Medium,In-person,K-8,0.454,https://www.engineeringforkids.com/programs/,"Advanced robotics for experienced students. Program complex robot behaviors, compete in challenges, and explore advanced engineering concepts. This Afterschool Program focuses on Robotics, Programming..."
10,Raspberry Pi Robotics Projects,Learning Platform,Software Engineering,Low,Hybrid,6-12,0.453,https://www.raspberrypi.org/,"DIY robotics education using Raspberry Pi computers. Students learn Python programming, electronics, and build custom robotic systems. This Learning Platform focuses on Robotics, Programming, Electron..."
11,Robotics and Automation High School Award,Scholarship,Robotics,Low,Online,11-12,0.446,https://www.scholarships.com/robotics-hs,"$1,500 scholarship for high school students in robotics. For students participating in robotics clubs, competitions, or building robotic systems. This Scholarship focuses on Robotics, Engineering, Com..."
12,Robotics Engineering High School Award,Scholarship,Robotics,Low,Online,11-12,0.442,https://www.petersons.com/robotics-hs,"$4,000 scholarship for robotics students. For high school students in robotics clubs, competitions, or building robotic systems. This Scholarship focuses on Robotics, Engineering, Computer Science and..."
13,CMU Robotics Academy - LEGO WeDo Elementary Robotics,Workshop/Training,Software Engineering,Low,Classroom,K-5,0.439,https://www.cs2n.org/curriculum,"Elementary robotics curriculum using LEGO WeDo 2.0. Introduce young students to engineering, programming, and scientific inquiry through age-appropriate projects. Visual block programming. This Curric..."
14,Robotics High School Scholarship,Scholarship,Robotics,Low,Online,11-12,0.438,https://www.chegg.com/scholarships/robotics-hs,"$2,000 scholarship for robotics students. For high school students participating in robotics competitions or building robotic systems. This Scholarship focuses on Robotics, Engineering, Computer Scien..."
15,CMU Robotics Academy - EV3 Intro to Programming,Workshop/Training,Software Engineering,Low,Classroom,6-12,0.437,https://www.cs2n.org/curriculum,"Introduction to robotics programming using LEGO MINDSTORMS EV3. Learn sensors, motors, programming logic, and problem-solving. Free curriculum with lesson plans, videos, and student activities. No pri..."
16,Introduction to Robotics,Online Course,Engineering,Low,Online,10-12,0.436,https://www.edx.org/learn/robotics,"University of Pennsylvania course exploring robotics fundamentals. Kinematics, dynamics, control systems, and robot programming. Hands-on simulations and projects. Great for students interested in eng..."
17,Bold.org - Robotics and Automation Scholarship,Scholarship,Engineering,Low,Virtual,11-12,0.428,https://bold.org/scholarships/engineering/,"$500-$3,000 scholarship for students interested in robotics engineering, automation, or mechatronics. Participation in FIRST Robotics, VEX Robotics, or similar programs encouraged. Essay or video desc..."
18,CMU Robotics Academy - Python for Robotics,Workshop/Training,Software Engineering,Low,Classroom,7-12,0.427,https://www.cs2n.org/curriculum,"Learn Python programming through robotics applications. Variables, loops, functions, and object-oriented programming with robot control. Modern language for versatile applications. This Curriculum foc..."
19,SkillsUSA Robotics and Automation Technology,Other,Engineering,Low,Regional and national competition sites,9-12,0.426,https://www.skillsusa.org/competitions/skillsusa-championships/,"Industrial robotics competition testing robot programming, operation, and maintenance. Students program robotic arms, design automation systems, and troubleshoot industrial equipment. Covers PLC progr..."
20,Scholly - Robotics and Automation Scholarship,Scholarship,Engineering,Low,Virtual,11-12,0.425,https://myscholly.com/engineering-scholarships/,"$1,000-$4,000 scholarship for students interested in robotics engineering and automation. Participation in FIRST Robotics, VEX Robotics, or similar programs encouraged. Essay or video describing robot..."
