rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Introduction to Machine Learning,Online Course,Artificial Intelligence/Machine Learning,Low,Online,11-12,0.720,https://www.udacity.com/course/intro-to-machine-learning--ud120,"Learn machine learning fundamentals including supervised and unsupervised learning. Explore classification, regression, and clustering algorithms. Use Python and scikit-learn. Real-world projects and ..."
2,Explore Machine Learning,Other,Artificial Intelligence/Machine Learning,Low,Hybrid,6-12,0.720,https://edu.google.com/computer-science/,"Introduction to machine learning and artificial intelligence for middle and high school students. Hands-on activities exploring ML concepts, ethics, and applications. Uses Teachable Machine and other ..."
3,Polygence - Computer Science and AI Projects,Mentorship Program,Artificial Intelligence/Machine Learning,High,Online,8-12,0.713,https://www.polygence.org/programs,"One-on-one mentorship in computer science, artificial intelligence, and machine learning. Build software applications, train neural networks, or explore computational theory. Projects can include deve..."
4,CMU Robotics Academy - Intro to AI and Machine Learning,Workshop/Training,Artificial Intelligence/Machine Learning,Low,Classroom,9-12,0.705,https://www.cs2n.org/curriculum,"Introduction to artificial intelligence and machine learning using robotics. Teach robots to learn from data, recognize patterns, and make decisions. Accessible AI concepts for high schoolers. This Cu..."
5,DMA Python Coding & AI,Camp,Artificial Intelligence/Machine Learning,High,In-person,9-12,0.703,https://www.digitalmediaacademy.org/summer-camps,"Advanced Python programming with machine learning applications. Build AI projects including chatbots and image recognition systems. This Camp focuses on Computer Science, Artificial Intelligence, Pyth..."
6,iD Tech Python Coding & AI,Camp,Artificial Intelligence/Machine Learning,High,In-person,9-12,0.699,https://www.idtech.com/summer-camps,"Advanced Python programming with machine learning applications. Build AI projects including chatbots and image recognition systems. This Camp focuses on Computer Science, Artificial Intelligence, Pyth..."
7,The Coding School AI Scholars Program,Other,Artificial Intelligence/Machine Learning,Low,Online,9-12,0.696,https://the-cs.org/programs,"Free artificial intelligence education program for high school students. Learn machine learning, neural networks, computer vision, and natural language processing. Hands-on projects using Python and i..."
8,Carnegie Mellon AI Scholars Program,Mentorship Program,Artificial Intelligence/Machine Learning,Low,Virtual,9-12,0.695,https://www.cs.cmu.edu/,Virtual mentorship program teaching artificial intelligence and machine learning to high school students. Weekly online sessions with CMU faculty and graduate students. Hands-on projects applying AI t...
9,Raising Student Voice - AI and Machine Learning Challenge,Competition,Artificial Intelligence/Machine Learning,Low,Online,9-12,0.689,https://www.raisingstudentvoice.com/competitions/ai-ml,Competition focused on artificial intelligence and machine learning projects for high school students. Students develop AI models to solve real-world problems. This Competition focuses on Artificial I...
10,Artificial Intelligence Basics,Online Course,Artificial Intelligence/Machine Learning,Medium,Online,6-8,0.656,https://outschool.com/classes/stem,"Introduction to AI and machine learning for ages 12-16. Neural networks, training models, and AI applications. This Online Class focuses on Artificial Intelligence, Computer Science, Machine Learning ..."
11,Machine Learning,Online Course,Artificial Intelligence/Machine Learning,Low,Online,9-12,0.654,https://www.coursera.org/learn/machine-learning,"Stanford University course by Andrew Ng introducing machine learning algorithms and applications. Learn supervised learning, neural networks, and best practices. Challenging but accessible to motivate..."
12,Brilliant.org Machine Learning,Online Course,Artificial Intelligence/Machine Learning,Low,Online,10-12,0.632,https://brilliant.org/courses/machine-learning/,"Introduction to AI and machine learning concepts. Learn classification, regression, and neural networks through interactive visualizations. No advanced math required initially. Build ML intuition. Gre..."
13,Google AI Explorers,Other,Artificial Intelligence/Machine Learning,Low,Hybrid,6-12,0.630,https://edu.google.com/computer-science/,"Interactive curriculum introducing artificial intelligence concepts to middle and high school students. Explore AI applications, ethics, and societal impacts. Hands-on activities with machine learning..."
14,DMA Machine Learning & Data Science,Camp,Artificial Intelligence/Machine Learning,High,In-person,9-12,0.624,https://www.digitalmediaacademy.org/summer-camps,"Introduction to data science and machine learning with Python. Analyze datasets and build predictive models. This Camp focuses on Data Science, Artificial Intelligence, Programming and serves grade 9-..."
15,DMA Coding & AI Camp,Camp,Artificial Intelligence/Machine Learning,High,In-person,6-8,0.622,https://www.digitalmediaacademy.org/summer-camps,"Week-long day camp teaching coding fundamentals and AI concepts. Students learn Python, machine learning basics, and create AI-powered projects. This Camp focuses on Computer Science, Artificial Intel..."
16,iD Tech Machine Learning & Data Science,Camp,Artificial Intelligence/Machine Learning,High,In-person,9-12,0.621,https://www.idtech.com/summer-camps,"Introduction to data science and machine learning with Python. Analyze datasets and build predictive models. This Camp focuses on Data Science, Artificial Intelligence, Programming and serves grade 9-..."
17,iD Tech Coding & AI Camp,Camp,Artificial Intelligence/Machine Learning,High,In-person,6-8,0.619,https://www.idtech.com/summer-camps,"Week-long day camp teaching coding fundamentals and AI concepts. Students learn Python, machine learning basics, and create AI-powered projects. This Camp focuses on Computer Science, Artificial Intel..."
18,AI4ALL Open Learning,Online Course,Artificial Intelligence/Machine Learning,Low,Online,12-SEP,0.614,https://ai-4-all.org/open-learning/,"Free self-paced AI curriculum available year-round. Video lectures, coding exercises, and projects. Learn AI fundamentals at your own pace. Topics include machine learning, neural networks, and AI eth..."
19,Introduction to Artificial Intelligence (AI),Online Course,Artificial Intelligence/Machine Learning,Low,Online,11-12,0.607,https://www.edx.org/learn/artificial-intelligence,"Columbia University course introducing AI concepts and applications. Machine learning, neural networks, natural language processing, and robotics. Explore AI ethics and societal impacts. Python progra..."
20,Introduction to Artificial Intelligence,Online Course,Artificial Intelligence/Machine Learning,Low,Online,9-12,0.597,https://www.udacity.com/course/intro-to-artificial-intelligence--cs271,"Explore AI fundamentals including search algorithms, game playing, machine learning, and robotics. Learn from AI pioneer Sebastian Thrun. Hands-on projects implementing AI techniques. Challenging but ..."
