rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Summer Immersion Program,Other,Software Engineering,Low,In-person,9-12,0.487,https://girlswhocode.com/programs/summer-immersion-program,"Intensive 7-week summer program for high school girls to learn programming, explore tech careers, and work on real-world projects with industry mentors and role models. This Tech Program focuses on Co..."
2,Girls Who Code Campus Programs,Other,Software Engineering,Low,In-person,12,0.453,https://girlswhocode.com/programs/campus,University-based programs and partnerships that bring coding education and career preparation directly to college campuses with local tech industry connections. This Tech Program focuses on Computer S...
3,iD Tech Blockchain & Cryptocurrency,Camp,Computer Science,High,In-person,9-12,0.438,https://www.idtech.com/summer-camps,"Understand blockchain technology and cryptocurrency fundamentals. Learn about decentralized systems and digital assets. This Camp focuses on Computer Science, Technology, Economics and serves grade 9-..."
4,Technology Innovation High School Award,Scholarship,Computer Science,Low,Online,11-12,0.424,https://www.unigo.com/scholarships/tech-innovation-hs,"$2,000 scholarship for tech innovators. For high school students with technology projects or inventions. This Scholarship focuses on Technology, Computer Science, Engineering and serves grade 9-12 stu..."
5,Technology Innovation High School Award,Scholarship,Computer Science,Low,Online,11-12,0.420,https://www.petersons.com/tech-innovation-hs,"$2,000 scholarship for technology innovators. For high school students with tech projects, apps, or innovative solutions. This Scholarship focuses on Technology, Computer Science, Engineering and serv..."
6,NYLF Technology & Innovation,Other,Artificial Intelligence/Machine Learning,High,Regional,10-12,0.403,https://www.nylf.org/,"Leadership program focused on emerging technologies and innovation. Explore artificial intelligence, robotics, software development, and tech entrepreneurship. Meet technology leaders, visit tech comp..."
7,Virtual Summer Experience,Other,Software Engineering,Low,Virtual,9-12,0.399,https://girlswhocode.com/programs/virtual-summer,"Online summer programming experience for girls who cannot attend in-person programs, featuring interactive coding lessons, virtual mentorship, and collaborative projects. This Tech Program focuses on ..."
8,Girls Who Code Community Impact Projects,Other,Software Engineering,Low,Hybrid,11-12,0.396,https://girlswhocode.com/programs/community-impact,"Capstone projects where girls use coding skills to address real community challenges, developing both technical abilities and social impact awareness through technology. This Tech Program focuses on C..."
9,PLTW Computer Science - Computer Science Principles,Other,Software Engineering,Medium,School-based,9-12,0.391,https://www.pltw.org/our-programs/pltw-computer-science/pltw-computer-science-courses/computer-science-principles,"Students develop computational thinking skills while exploring programming, algorithms, data representation, and the impact of computing innovations on society. This Computer Science Program focuses o..."
10,HerStory Programming Curriculum,Other,Software Engineering,Low,Virtual,6-12,0.389,https://girlswhocode.com/herstory,Culturally responsive computer science curriculum that highlights contributions of women and underrepresented groups in technology while teaching core programming concepts. This Coding Program focuses...
11,AWS Girls Tech Program Scholarship,Scholarship,Computer Science,Low,Online,11-12,0.389,https://bigfuture.collegeboard.org/scholarships,"$3,000 scholarship for female high school students pursuing computer science or cloud computing. Supporting women in technology careers. This Scholarship focuses on Computer Science, Cloud Computing, ..."
12,Computer Science Career Path,Other,Software Engineering,Low,Online,10-12,0.381,https://www.codecademy.com/learn/paths/computer-science,"Learn fundamental computer science concepts including algorithms, data structures, and programming principles. Build a strong foundation for advanced CS studies. This Programming Course focuses on Com..."
13,Congressional App Challenge Alumni Network,Other,Computer Science,Low,Online,11-12,0.379,https://www.congressionalappchallenge.us/,Network of past Congressional App Challenge participants and winners. Mentorship for current participants from alumni. Career connections in tech industry and government. Share experiences and advice....
14,Best Buy @ 15 Scholarship - Technology Track,Scholarship,Software Engineering,Low,Online,11-12,0.374,https://bigfuture.collegeboard.org/scholarships,"$2,500 scholarship for high school students pursuing technology and computer science. For students with GPA 2.5+ interested in tech careers. This Scholarship focuses on Computer Science, Technology, S..."
15,High School Computer Science Scholarship,Scholarship,Software Engineering,Low,Online,11-12,0.374,https://www.fastweb.com/college-scholarships/computer-science-hs,"Scholarship for high school students pursuing computer science. Applicants must demonstrate passion for technology and programming. This Scholarship focuses on Computer Science, Technology and serves ..."
16,PLTW Computer Science - Computer Science Essentials,Other,Data Science,Medium,School-based,9-12,0.374,https://www.pltw.org/our-programs/pltw-computer-science/pltw-computer-science-courses/computer-science-essentials,"Students explore computing concepts including algorithms, programming, data analysis, and the societal impact of computing through hands-on activities. This Computer Science Program focuses on Compute..."
17,Cappex - Women in Computer Science Scholarship,Scholarship,Software Engineering,Low,Virtual,11-12,0.370,https://www.cappex.com/scholarships/computer-science/women-cs,"$4,000 scholarship for female students pursuing computer science or related technology fields. Must demonstrate coding ability and commitment to increasing female representation in tech. This Scholars..."
18,PLTW Computer Science - Computer Science A,Other,Software Engineering,Medium,School-based,9-12,0.369,https://www.pltw.org/our-programs/pltw-computer-science/pltw-computer-science-courses/computer-science-a,"Students learn object-oriented programming using Java while developing problem-solving skills and understanding data structures, algorithms, and software design. This Computer Science Program focuses ..."
19,Stanford Pre-Collegiate Computer Science,Summer Program,Software Engineering,High,Residential,9-12,0.363,https://summerinstitutes.spcs.stanford.edu/,"Three-week intensive computer science program covering programming, algorithms, data structures, and software development. Hands-on coding projects using Python, Java, or other languages. Learn from S..."
20,Chegg - Women in Computer Science Scholarship,Scholarship,Software Engineering,Low,Virtual,11-12,0.362,https://www.chegg.com/scholarships/computer-science-scholarships/women-cs,"$6,000 scholarship for female students pursuing computer science or software engineering. Must demonstrate coding skills and commitment to increasing female representation in tech. Two awards availabl..."
