rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,JASON High School STEM Resources,Other,Computer Science,Low,Classroom and online,9-12,0.385,https://www.jason.org/programs/,"Advanced STEM content and career exploration for high school students (9-12). In-depth scientific content, engineering projects, and research-based learning. Career videos feature scientists and engin..."
2,MIT RISE - Research in Science and Engineering,Research Opportunity,Computer Science,Low,In-person,11-12,0.355,https://www.riseprograms.org/programs,"7-week summer research program at MIT for underrepresented high school students. Conduct research in engineering, computer science, or life sciences. Work with MIT faculty on authentic research projec..."
3,ASHRAE High School Outreach Program,Other,Engineering,Low,Hybrid,9-12,0.349,https://www.ashrae.org/about/students,Introduction to HVAC&R careers for high school students. Virtual and in-person presentations by ASHRAE professionals. Learn about engineering careers in building systems and sustainability. Hands-on d...
4,UC Berkeley RISE Research Internship,Research Opportunity,Engineering,Medium,In-person,11-12,0.290,https://www.riseprograms.org/programs,"6-week summer research program at UC Berkeley for California high school students. Conduct research in life sciences, physical sciences, or engineering with Berkeley faculty. Residential option availa..."
5,Carnegie Mellon SAMS Research Component,Research Opportunity,Computer Science,Low,In-Person,11-12,0.273,https://www.cmu.edu/pre-college/academic-programs/sams.html,"Part of Summer Academy for Math and Science program. Students conduct independent research projects with CMU faculty. Focus on STEM research skills, college prep, and building research portfolio. Full..."
6,University of Texas RISE Biotech Research,Research Opportunity,Engineering,Medium,In-person,11-12,0.265,https://www.riseprograms.org/programs,"8-week biotechnology research program at UT Austin for Texas high school students. Conduct research in genetic engineering, bioinformatics, or pharmaceutical sciences. Laboratory immersion with daily ..."
7,Boston University RISE Practicum,Research Opportunity,Engineering,High,In-person,11-12,0.255,https://www.riseprograms.org/programs,"6-week intensive summer research program at Boston University for rising high school seniors. Students conduct original research in life sciences, physical sciences, or engineering. Work in university..."
8,Yale RISE Summer Research Program,Research Opportunity,Chemistry,Low,In-person,11-12,0.244,https://www.riseprograms.org/programs,"8-week residential research experience at Yale University for high school students. Research in biological sciences, chemistry, physics, or environmental science. Work alongside Yale researchers on on..."
9,University of Michigan RISE Research Fellows,Research Opportunity,Engineering,Medium,In-person,11-12,0.241,https://www.riseprograms.org/programs,"7-week summer research fellowship at University of Michigan for Midwest high school students. Research in natural sciences, engineering, or mathematics. Close mentorship from U-M faculty and graduate ..."
10,Rice University RISE Research Experience,Research Opportunity,Engineering,Medium,In-person,11-12,0.230,https://www.riseprograms.org/programs,"7-week summer research program at Rice University for Texas and Louisiana high school students. Research in physical sciences, life sciences, or engineering. Small cohort with individualized mentorshi..."
11,eCYBERMISSION Grade 8 Division,Other,Engineering,Low,Online,8,0.221,https://www.ecybermission.com/compete,"8th grade advanced STEM team competition. Sophisticated community problem-solving projects. Apply scientific method to real-world challenges. Categories in energy, environment, food safety, security, ..."
12,Cornell Splash,Other,Engineering,Low,"Cornell campus (Ithaca, NY)",9-12,0.210,https://cornell.learningu.org/,"Educational enrichment program at Cornell University where undergraduates teach mini-courses to high school students. Wide variety of classes in science, math, engineering, humanities, and arts. Stude..."
13,M3 Challenge Alumni Community,Other,Mathematics,Low,Online,11-12,0.209,https://m3challenge.siam.org/,"Network of M3 Challenge alumni pursuing STEM careers. Many at top universities and tech companies. Mentorship for current and future participants. Career insights in applied mathematics, data science,..."
14,NYLF Women in STEM Leadership,Other,Computer Science,High,Regional,10-12,0.205,https://www.nylf.org/,"Leadership program specifically designed for young women interested in STEM careers. Address challenges women face in STEM, meet successful women in STEM fields, develop leadership confidence, and exp..."
15,STEM Education Coalition Scholarship,Scholarship,Engineering,Low,Online,11-12,0.204,https://bigfuture.collegeboard.org/scholarships,"$2,500 for high school students planning STEM careers. Recognizing commitment to science, technology, engineering, and mathematics. This Scholarship focuses on General STEM, Engineering, Technology an..."
16,SWE Career Guidance for Young Women,Other,Engineering,Low,Online,9-12,0.203,https://swe.org/k-12-outreach/,"Career counseling and guidance program connecting students with women engineers. Learn about engineering career pathways, college preparation, and professional development. Virtual mentoring sessions ..."
