rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Jackson Laboratory - Summer Student Program,Internship,Biology,Low,In-Person,11-12,0.648,https://www.jax.org/education-and-learning/high-school-students/summer-student-program,Hands-on genomics and genetics research experience for high school students at premier biomedical research institution. Students work with world-class scientists on projects involving mammalian geneti...
2,Jackson Laboratory Summer Student Program,Research Opportunity,Biology,Low,In-Person,11-12,0.560,https://www.jax.org/education-and-learning/high-school-students/summer-student-program,"Ten-week paid research internship at JAX labs in Maine. Students work on genetics and genomics research projects. Housing provided, weekly seminars, social activities, and final research symposium. Co..."
3,Garcia Research Scholars - Biology and Life Sciences Track,Other,Biology,Low,In-person,11-12,0.554,https://www.stonybrook.edu/commcms/garcia/,"Research opportunities in molecular biology, genetics, neuroscience, ecology, or biomedical sciences. Work in university laboratories using advanced equipment and techniques. Learn experimental design..."
4,National Human Genome Research Institute Training,Research Opportunity,Biology,Low,In-person,11-12,0.550,https://www.genome.gov/careers-training,"Genomics and bioinformatics research training for students interested in human genetics and computational biology. This Research Program focuses on Genetics, Bioinformatics, Computational Biology and ..."
5,"Genetics and Genomics Scholarship - $7,000",Scholarship,Biology,Low,Online,11-12,0.548,https://www.niche.com/colleges/scholarships/stem/,"Scholarship for students interested in genetics, genomics, or molecular biology. Essay on genetic research required. This Scholarship focuses on Genetics, Biology, Biotechnology and serves grade 11-12..."
6,Polygence - Biotechnology and Life Sciences,Mentorship Program,Biology,High,Online,8-12,0.516,https://www.polygence.org/programs,"Research mentorship in biology, biotechnology, and life sciences. Explore topics like genetics, molecular biology, neuroscience, or ecology. Projects may involve computational biology, bioinformatics ..."
7,Fred Hutchinson Cancer Center High School Internship,Research Opportunity,Biology,Low,In-Person,11-12,0.515,https://www.fredhutch.org/en/education-outreach/high-school.html,"Eight-week summer research internship for Seattle-area students. Work in cancer research labs at Fred Hutch. Stipend provided. Weekly seminars on cancer biology, research careers, and professional dev..."
8,Jackson Laboratory Summer Student Program,Internship,Biology,Low,In-person,11-12,0.508,https://pathwaystoscience.org/programs.aspx,"Eight-week genetics research internship for high school students at JAX laboratories. Students conduct independent research projects in genomics and genetics. This Internship focuses on Genetics, Biol..."
9,Rockefeller University Summer Science Research Program (SSRP),Research Opportunity,Biology,Low,In-Person,11-12,0.492,https://www.rockefeller.edu/education/high-school/,"Paid summer research internship at prestigious research institution. High school students work full-time in labs alongside scientists. Weekly seminars, career guidance, and end-of-summer research pres..."
10,NIH RISE Summer Research Program,Research Opportunity,Biology,Low,In-person,11-12,0.491,https://www.riseprograms.org/programs,8-week summer research internship at National Institutes of Health for high school students interested in biomedical research. Work alongside NIH scientists on health-related research projects. Stipen...
11,Children's Hospital of Philadelphia - Summer Research Program,Internship,Biology,Low,In-Person,11-12,0.490,https://www.chop.edu/education/high-school-summer-research,"Pediatric biomedical research internship at CHOP for high school students interested in pediatric medicine and research. Students work on projects related to pediatric diseases, genetics, and developm..."
12,Gizmos - Heredity and Genetics,Learning Platform,Technology,Medium,Online,6-8,0.470,https://gizmos.explorelearning.com/,"Model genetic crosses using Punnett squares and pedigrees. Explore dominant, recessive, and sex-linked traits. Grades 7-10 develop genetics problem-solving skills. This Learning Platform focuses on Li..."
13,Raising Student Voice - Biology Research Competition,Competition,Biology,Low,Hybrid,11-12,0.464,https://www.raisingstudentvoice.com/competitions/biology,"Competition for original biology research including ecology, genetics, microbiology, botany, and zoology. Students conduct experiments and present findings. This Competition focuses on Biology, Ecolog..."
14,Baylor College of Medicine - High School Summer Science Program,Internship,Biology,Low,In-Person,11-12,0.436,https://www.bcm.edu/education/academic-programs/high-school-summer,"Intensive biomedical research program for Houston-area high school students. Interns work in Baylor laboratories on projects in molecular biology, genetics, neuroscience, and translational medicine. T..."
15,IXL Science - Biology,Learning Platform,Biology,High,Online,9-12,0.435,https://www.ixl.com/science/biology,"High school biology curriculum with 500+ skills. Cell biology, genetics, evolution, ecology, human body systems, and scientific practices. Comprehensive life science course. This Learning Platform foc..."
16,USABO Open Exam,Other,Biology,Low,School-based,12-SEP,0.435,https://www.usabo-trc.org/competition-structure,"First round of USA Biology Olympiad competition for high school students. 50-minute, 50-question multiple choice exam covering biology curriculum. Tests general biology knowledge including cell biolog..."
17,Mystery Science - 3rd Grade: Traits and Inheritance,Learning Platform,Biology,Low,Classroom,3,0.425,https://mysteryscience.com/school/overview,Study how organisms inherit traits from parents. Observe variation in species and family resemblances. Video lessons on genetics basics. Create family tree diagrams showing inherited characteristics. ...
18,Broad Summer Scholars Program (BSSP),Research Opportunity,Biology,Low,In-Person,11-12,0.421,https://www.broadinstitute.org/bssp,"Five-week paid summer research program at Broad Institute of MIT and Harvard. Students conduct genomics and biomedical research. Professional development workshops, college prep, and mentorship from l..."
19,Nationwide Children's Hospital - Summer Research Internship,Internship,Technology,Low,In-Person,11-12,0.416,https://www.nationwidechildrens.org/research/summer-internship,"Pediatric research internship for central Ohio high school students at Nationwide Children's Hospital Research Institute. Students conduct research in pediatric health, genetics, and childhood disease..."
20,NIH High School Scientific Training and Enrichment Program (HiSTEP),Research Opportunity,Biology,Low,In-Person,11-12,0.415,https://www.training.nih.gov/programs/hs/,"Year-long research program for DC-area high school students. After-school and summer components. Work in NIH labs on biomedical research. Mentorship from NIH scientists, college prep support, and stip..."
