rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Codeforces Problem Archive,Learning Platform,Software Engineering,Low,Online,9-12,0.708,https://codeforces.com/problemset,"Extensive archive of 7000+ programming problems across all difficulty levels. Problems tagged by topic including algorithms, data structures, math, and more. This Learning Platform focuses on Computer..."
2,Coding Rooms - Data Structures and Algorithms,Learning Platform,Software Engineering,Low,Online,9-12,0.628,https://www.codingrooms.com/curriculum,"Computer science fundamentals covering arrays, linked lists, stacks, queues, trees, graphs, sorting, searching, and algorithm analysis. Essential for competitive programming and technical interviews. ..."
3,Codeforces - Competitive Programming Platform,Competition,Software Engineering,Low,Virtual,9-12,0.573,https://codeforces.com/,Free online competitive programming platform with regular contests (2-3 per week). Rating system tracks progress. Problems range from beginner to advanced. Large community with editorials and discussi...
4,Computer Science: Data Structures and Algorithms,Other,Software Engineering,High,Online,9-12,0.548,https://cty.jhu.edu/programs/online/courses/computer-science/data-structures,"Explore fundamental computer science concepts including data structures, algorithms, and computational thinking through hands-on programming projects. This Academic Program focuses on Computer Science..."
5,PLTW Computer Science - Computer Science Principles,Other,Software Engineering,Medium,School-based,9-12,0.539,https://www.pltw.org/our-programs/pltw-computer-science/pltw-computer-science-courses/computer-science-principles,"Students develop computational thinking skills while exploring programming, algorithms, data representation, and the impact of computing innovations on society. This Computer Science Program focuses o..."
6,Stanford Pre-Collegiate Computer Science,Summer Program,Software Engineering,High,Residential,9-12,0.536,https://summerinstitutes.spcs.stanford.edu/,"Three-week intensive computer science program covering programming, algorithms, data structures, and software development. Hands-on coding projects using Python, Java, or other languages. Learn from S..."
7,PLTW Computer Science - Computer Science A,Other,Software Engineering,Medium,School-based,9-12,0.530,https://www.pltw.org/our-programs/pltw-computer-science/pltw-computer-science-courses/computer-science-a,"Students learn object-oriented programming using Java while developing problem-solving skills and understanding data structures, algorithms, and software design. This Computer Science Program focuses ..."
8,SkillsUSA Computer Programming,Other,Software Engineering,Low,Regional and national competition sites,9-12,0.524,https://www.skillsusa.org/competitions/skillsusa-championships/,"Software development competition testing coding skills in multiple programming languages. Students solve algorithmic problems, debug code, and develop functional applications. Covers object-oriented p..."
9,Computer Science Career Path,Other,Software Engineering,Low,Online,10-12,0.511,https://www.codecademy.com/learn/paths/computer-science,"Learn fundamental computer science concepts including algorithms, data structures, and programming principles. Build a strong foundation for advanced CS studies. This Programming Course focuses on Com..."
10,Brilliant.org Python Programming,Online Course,Software Engineering,Low,Online,9-12,0.508,https://brilliant.org/courses/programming-python/,Learn Python through interactive coding challenges and projects. Start with basics and progress to data structures and algorithms. Immediate feedback on code. Build real programs and games. Perfect fo...
11,CS Scholars,Summer Program,Software Engineering,High,Residential,9-12,0.499,https://www.cmu.edu/pre-college/,"Comprehensive computer science program for high school students. Learn programming, algorithms, data structures, and software development from CMU faculty. Work on real-world projects and collaborate ..."
12,USACO Gold Division,Other,Software Engineering,Low,Online,9-12,0.488,http://www.usaco.org/index.php?page=contests,"Advanced division featuring complex algorithms and data structures. Problems require dynamic programming, advanced graph algorithms, segment trees, and computational geometry. Three problems in 4 hour..."
13,Introduction to Algorithms,Online Course,Software Engineering,Low,Online,11-12,0.472,https://www.udacity.com/course/intro-to-algorithms--cs215,"Learn fundamental algorithms and data structures. Understand sorting, searching, and graph algorithms. Analyze algorithm complexity and efficiency. Use Python for implementation. Great for competitive..."
14,PLTW Computer Science - Computer Science Essentials,Other,Data Science,Medium,School-based,9-12,0.472,https://www.pltw.org/our-programs/pltw-computer-science/pltw-computer-science-courses/computer-science-essentials,"Students explore computing concepts including algorithms, programming, data analysis, and the societal impact of computing through hands-on activities. This Computer Science Program focuses on Compute..."
15,Brilliant.org Data Structures and Algorithms,Online Course,Software Engineering,Low,Online,10-12,0.468,https://brilliant.org/courses/algorithms/,"Advanced computer science covering arrays, trees, graphs, sorting, and searching. Interactive visualizations of algorithms. Problem-solving focus for competitive programming and interviews. Challengin..."
16,AoPS USACO Silver Preparation,Learning Platform,Software Engineering,High,Online,9-12,0.468,https://artofproblemsolving.com/online-school,"Advanced competitive programming for USACO Silver division covering graph algorithms, dynamic programming, and advanced data structures. This Learning Platform focuses on Computer Science, Algorithms ..."
17,CMU Robotics Academy - Computer Science 2 (CS2),Workshop/Training,Software Engineering,Low,Classroom,6-12,0.467,https://www.cs2n.org/curriculum,"Introductory computer science curriculum using robotics as teaching platform. Programming fundamentals, algorithms, data structures, and computational thinking. Language-agnostic concepts with robot i..."
18,Codeforces Regular Contests,Competition,Software Engineering,Low,Online,9-12,0.465,https://codeforces.com/contests,"Regular competitive programming contests held 2-3 times per week. Divisions 1, 2, 3, and 4 cater to different skill levels from beginner to advanced. This Competition focuses on Computer Science, Prog..."
19,USACO Silver Division,Other,Software Engineering,Low,Online,9-12,0.465,http://www.usaco.org/index.php?page=contests,"Intermediate division requiring knowledge of standard algorithms and data structures. Three problems in 4 hours covering sorting, binary search, prefix sums, two pointers, and basic graph algorithms. ..."
20,Algorithms Specialization,Online Course,Software Engineering,Low,Online,9-12,0.457,https://www.coursera.org/specializations/algorithms,"Stanford University four-course specialization covering fundamental algorithms and data structures. Learn graph algorithms, greedy algorithms, dynamic programming, and more. Challenging content for ad..."
