rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Pioneer Academics - Physics and Quantum Mechanics,Other,Other STEM,High,Online,11-12,0.862,https://pioneeracademics.com/subjects/,"Research in theoretical or experimental physics. Work with physics professor on topics like quantum mechanics, particle physics, condensed matter, or thermodynamics. Explore fundamental questions abou..."
2,Chegg - Quantum Computing Scholarship,Scholarship,Computer Science,Low,Virtual,11-12,0.483,https://www.chegg.com/scholarships/computer-science-scholarships/quantum-computing,"$8,000 scholarship for students interested in quantum computing, quantum physics, or quantum information science. Must demonstrate strong foundation in physics and advanced mathematics. This Scholarsh..."
3,Stanford Pre-Collegiate Physics,Summer Program,Mathematics,High,Residential,9-12,0.481,https://summerinstitutes.spcs.stanford.edu/,"Advanced physics topics beyond high school curriculum including modern physics, quantum mechanics, and relativity. Laboratory experiments, problem-solving, and mathematical modeling. Taught by Stanfor..."
4,"Quantum Computing Scholarship - $9,500",Scholarship,Computer Science,Low,Online,11-12,0.473,https://www.niche.com/colleges/scholarships/stem/,"Prestigious award for students exploring quantum computing or quantum physics. Advanced research essay required. This Scholarship focuses on Quantum Computing, Physics, Computer Science and serves gra..."
5,Brilliant.org Quantum Computing,Online Course,Computer Science,Low,Online,9-12,0.470,https://brilliant.org/courses/quantum-computing/,"Introduction to quantum computing concepts through interactive visualizations. Learn qubits, quantum gates, and quantum algorithms. No physics background required. Build intuition for cutting-edge tec..."
6,IXL Science - Physics,Learning Platform,Computer Science,High,Online,9-12,0.458,https://www.ixl.com/science/physics,"High school physics covering 400+ skills. Mechanics, energy, waves, electricity, magnetism, and modern physics. Mathematical problem-solving and conceptual understanding. This Learning Platform focuse..."
7,Physics Bowl Division 2,Other,Physics,Low,School-based,9-12,0.446,https://www.aapt.org/programs/physicsbowl/,"Advanced division for students who have completed honors or AP physics courses. 40 challenging multiple choice questions in 45 minutes. Covers advanced topics including calculus-based mechanics, elect..."
8,Polygence - Physics and Mathematics,Mentorship Program,Other STEM,High,Online,8-12,0.443,https://www.polygence.org/programs,"Research mentorship in physics, mathematics, and related fields. Explore theoretical physics, applied mathematics, astrophysics, or computational physics. Projects may involve mathematical modeling, p..."
9,USA Physics Olympiad (USAPhO),Other,Physics,Low,School-based,9-12,0.418,https://www.aapt.org/physicsteam/,"Second round of physics olympiad for top F=ma performers. Two 90-minute free-response exams with challenging physics problems requiring detailed solutions. Tests deep understanding of mechanics, elect..."
10,F=ma Exam (USA Physics Olympiad Qualifier),Other,Physics,Low,Online,9-12,0.408,https://www.aapt.org/physicsteam/,"First round of USA Physics Olympiad competition. 75-minute, 25-question exam focusing on mechanics and problem-solving. Tests conceptual understanding and mathematical skills. Free online exam for all..."
11,Physics: Mechanics and Waves,Other,Physics,High,Online,9-12,0.407,https://cty.jhu.edu/programs/online/courses/physics/mechanics,"Advanced study of classical mechanics, oscillations, and wave phenomena with mathematical modeling and laboratory simulations. This Academic Program focuses on Physics and serves grade 9-12 students. ..."
12,Physics Bowl Division 1,Other,Physics,Low,School-based,9-10,0.400,https://www.aapt.org/programs/physicsbowl/,"Division for students in their first physics course (typically physics or honors physics). 40 multiple choice questions in 45 minutes covering fundamental physics concepts. Tests mechanics, waves, ele..."
13,Quantum Computing High School Scholarship,Scholarship,Computer Science,Low,Online,11-12,0.391,https://www.petersons.com/quantum-hs,"$4,500 award for quantum computing students. For high school students with advanced physics and computer science knowledge. This Scholarship focuses on Quantum Computing, Physics, Computer Science and..."
14,University of Illinois RISE Physics and Astronomy,Research Opportunity,Other STEM,Medium,In-person,11-12,0.390,https://www.riseprograms.org/programs,8-week summer research program in physics and astronomy at University of Illinois Urbana-Champaign. High school students conduct research using observatory facilities or physics laboratories. Projects...
15,Quantum Computing High School Award,Scholarship,Computer Science,Low,Online,11-12,0.389,https://www.scholarships.com/quantum-hs,"$2,500 scholarship for students exploring quantum computing. For high school students with advanced physics and computer science knowledge. This Scholarship focuses on Quantum Computing, Physics, Comp..."
16,Physics Bowl,Other,Physics,Low,School-based,9-12,0.385,https://www.aapt.org/programs/physicsbowl/,"Annual 45-minute, 40-question timed multiple choice competition testing physics knowledge. Covers mechanics, electricity and magnetism, waves, optics, modern physics, and more. Two divisions: Division..."
17,Gizmos - Newton's Laws of Motion,Learning Platform,Other STEM,Medium,Online,8-11,0.376,https://gizmos.explorelearning.com/,"Experiment with forces, mass, and acceleration. Simulate collisions and predict motion outcomes. Grades 8-11 develop physics problem-solving with Newton's laws. This Learning Platform focuses on Physi..."
18,AP Physics 1: Mechanics,Online Course,Physics,Low,Online,11-12,0.366,https://www.edx.org/learn/physics/rice-university-ap-physics-1-mechanics,"Rice University course covering classical mechanics for AP Physics 1 exam. Kinematics, Newton's laws, energy, momentum, rotational motion, and waves. Algebra-based physics with hands-on problem-solvin..."
19,Garcia Research Scholars - Physics and Astronomy Track,Other,Other STEM,Low,In-person,11-12,0.359,https://www.stonybrook.edu/commcms/garcia/,"Research in theoretical or experimental physics, astronomy, or astrophysics. Study particle physics, condensed matter, optics, or cosmology. Use computational modeling, laboratory experiments, or tele..."
20,Summer Science Program (SSP) - Astrophysics at New Mexico Tech,Summer Program,Other STEM,High,In-person,9-12,0.352,https://summerscience.org/programs/,39-day residential research program for rising 10th and 11th graders at New Mexico Institute of Mining and Technology. Students conduct hands-on astrophysics research using university telescopes to tr...
