rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Stanford Pre-Collegiate Engineering,Summer Program,Engineering,High,Residential,9-12,0.513,https://summerinstitutes.spcs.stanford.edu/,"Engineering design and problem-solving program introducing students to various engineering disciplines. Includes mechanical, electrical, biomedical, and computer engineering projects. Team-based desig..."
2,Garcia Research Scholars - Engineering Track,Other,Engineering,Low,In-person,11-12,0.490,https://www.stonybrook.edu/commcms/garcia/,"Research in mechanical, electrical, biomedical, or environmental engineering. Design experiments, build prototypes, and test engineering solutions. Use CAD software, fabrication equipment, and testing..."
3,SkillsUSA Electrical Construction Wiring,Other,Engineering,Low,Regional and national competition sites,9-12,0.442,https://www.skillsusa.org/competitions/skillsusa-championships/,"Electrical trades competition testing residential and commercial wiring skills. Students install electrical systems according to National Electrical Code (NEC), troubleshoot circuits, and demonstrate ..."
4,Raising Student Voice - Engineering Design Challenge,Competition,Engineering,Low,Hybrid,7-12,0.427,https://www.raisingstudentvoice.com/competitions/engineering-design,"Annual engineering design competition where students develop solutions to real-world engineering problems. Includes civil, mechanical, electrical, and environmental engineering categories. This Compet..."
5,SkillsUSA Automotive Service Technology,Other,Engineering,Low,Regional and national competition sites,9-12,0.400,https://www.skillsusa.org/competitions/skillsusa-championships/,"Automotive repair competition testing diagnosis and repair of modern vehicles. Students troubleshoot engine, electrical, brake, and suspension systems using diagnostic equipment. Covers hybrid/electri..."
6,University of Washington RISE Engineering Research,Research Opportunity,Engineering,Medium,In-person,11-12,0.391,https://www.riseprograms.org/programs,"6-week engineering research program for Pacific Northwest high school students. Conduct research in mechanical, electrical, civil, or biomedical engineering at UW. Faculty-mentored projects addressing..."
7,PLTW Engineering - Introduction to Engineering Design,Other,Engineering,Medium,School-based,9-12,0.376,https://www.pltw.org/our-programs/pltw-engineering/pltw-engineering-courses/introduction-engineering-design,"Students dig deep into the engineering design process while applying mathematical analysis, scientific principles, and engineering standards to solve engineering problems. This Engineering Program foc..."
8,"Electrical Engineering Award - $7,000",Scholarship,Engineering,Low,Online,11-12,0.354,https://www.niche.com/colleges/scholarships/stem/,"Award for students interested in electrical engineering, electronics, or circuit design. Portfolio of electrical projects required. This Scholarship focuses on Electrical Engineering, Engineering, Tec..."
9,SkillsUSA Engineering Technology/Design,Other,Engineering,Low,Regional and national competition sites,9-12,0.332,https://www.skillsusa.org/competitions/skillsusa-championships/,"Team-based engineering design competition solving real-world problems. Teams research, design, prototype, and present engineering solutions using technical documentation and CAD models. Emphasizes STE..."
10,JASON Engineering Design Challenges,Other,Engineering,Low,Classroom and online,K-12,0.302,https://www.jason.org/programs/,"Project-based engineering activities where students design, build, and test solutions to real-world problems. Challenges include robotics, renewable energy, structural engineering, and environmental s..."
11,Broadcom MASTERS - Samueli Foundation Prize,Competition,Engineering,Low,Hybrid,9-12,0.272,https://www.societyforscience.org/broadcom-masters/,Special award for engineering projects in MASTERS competition. Recognizes outstanding middle school engineering research. Additional prize and recognition for finalists. This Competition focuses on En...
12,Stanford Pre-Collegiate Summer Engineering Academy,Camp,Engineering,High,In-Person,9-10,0.253,https://spcs.stanford.edu/engineering-academy,"Three-week residential program introducing high school students to engineering disciplines. Design projects, lab work, campus tours, and college prep. Led by Stanford faculty and graduate students. Th..."
13,Destination Imagination Engineering Challenge,Other,Engineering,Medium,Regional tournaments,9-12,0.253,https://www.destinationimagination.org/challenge-programs/,"Teams design and construct engineering solutions to specific problems, often involving structures, machines, or mechanisms. Challenges test understanding of physics, structural integrity, and mechanic..."
14,"SkillsUSA HVAC/R (Heating, Ventilation, Air Conditioning, Refrigeration)",Other,Engineering,Low,Regional and national competition sites,9-12,0.216,https://www.skillsusa.org/competitions/skillsusa-championships/,"Climate control systems competition testing HVAC installation, maintenance, and troubleshooting. Students work with refrigeration cycles, electrical controls, ductwork, and system diagnostics. Covers ..."
