rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,PLTW Engineering - Introduction to Engineering Design,Other,Engineering,Medium,School-based,9-12,0.494,https://www.pltw.org/our-programs/pltw-engineering/pltw-engineering-courses/introduction-engineering-design,"Students dig deep into the engineering design process while applying mathematical analysis, scientific principles, and engineering standards to solve engineering problems. This Engineering Program foc..."
2,Stanford Pre-Collegiate Engineering,Summer Program,Engineering,High,Residential,9-12,0.452,https://summerinstitutes.spcs.stanford.edu/,"Engineering design and problem-solving program introducing students to various engineering disciplines. Includes mechanical, electrical, biomedical, and computer engineering projects. Team-based desig..."
3,SWENext Engineering Design Challenges,Competition,Engineering,Low,Hybrid,6-12,0.413,https://swe.org/k-12-outreach/,"Engineering design competitions and challenges for students. Team-based problem-solving using engineering design process. Virtual and in-person options. Develop creativity, critical thinking, and team..."
4,SkillsUSA Engineering Technology/Design,Other,Engineering,Low,Regional and national competition sites,9-12,0.399,https://www.skillsusa.org/competitions/skillsusa-championships/,"Team-based engineering design competition solving real-world problems. Teams research, design, prototype, and present engineering solutions using technical documentation and CAD models. Emphasizes STE..."
5,SkillsUSA CAD Engineering,Other,Engineering,Low,Regional and national competition sites,9-12,0.341,https://www.skillsusa.org/competitions/skillsusa-championships/,"Engineering design competition using Computer-Aided Design software. Students create detailed engineering drawings, assemblies, and technical documentation. Tests mechanical design principles, geometr..."
6,JASON Engineering Design Challenges,Other,Engineering,Low,Classroom and online,K-12,0.325,https://www.jason.org/programs/,"Project-based engineering activities where students design, build, and test solutions to real-world problems. Challenges include robotics, renewable energy, structural engineering, and environmental s..."
7,Polygence - Engineering and Design,Mentorship Program,Engineering,High,Online,8-12,0.325,https://www.polygence.org/programs,"One-on-one mentorship in engineering disciplines and design thinking. Explore mechanical, electrical, chemical, or biomedical engineering. Projects may involve CAD modeling, circuit design, materials ..."
8,PLTW Engineering - Engineering Design and Development,Other,Engineering,Medium,School-based,9-12,0.296,https://www.pltw.org/our-programs/pltw-engineering/pltw-engineering-courses/engineering-design-and-development,"Capstone course where students work in teams to research, design, and construct solutions to open-ended engineering problems using the full design process. This Engineering Program focuses on Engineer..."
9,Introduction to Engineering and Design,Online Course,Engineering,Low,Online,9-12,0.280,https://www.edx.org/learn/engineering,"Explore engineering design process through hands-on projects. Learn problem-solving, prototyping, and teamwork. Covers mechanical, electrical, and civil engineering fundamentals. Suitable for students..."
10,Stanford Pre-Collegiate Summer Engineering Academy,Camp,Engineering,High,In-Person,9-10,0.279,https://spcs.stanford.edu/engineering-academy,"Three-week residential program introducing high school students to engineering disciplines. Design projects, lab work, campus tours, and college prep. Led by Stanford faculty and graduate students. Th..."
11,Tinkercad Codeblocks - Parametric Design,Learning Platform,Software Engineering,Low,Online,7-12,0.240,https://www.tinkercad.com/learn,"Create designs that change based on parameters and variables. Learn functions, parameters, and modular design. Advanced programming concepts through CAD. This Learning Platform focuses on Programming,..."
12,Lockheed Martin Engineering Design Challenge,Other,Engineering,Low,Hybrid,9-12,0.232,https://www.lockheedmartin.com/en-us/who-we-are/communities/stem-education.html,"Annual engineering challenge where high school teams design solutions to real aerospace and defense problems. Students receive mentorship from Lockheed Martin engineers, work on authentic challenges, ..."
13,STEMfinity Free Middle School STEM Challenges,Learning Platform,Software Engineering,Low,Hybrid,6-8,0.220,https://www.stemfinity.com/Free-STEM-Activities,"Engineering design challenges and STEM projects for middle school students. Downloadable activities covering robotics, coding, engineering, and mathematics. This Learning Platform focuses on Engineeri..."
14,NASA Student Launch Challenge,Competition,Engineering,Low,NASA Centers,6-12,0.219,https://www.nasa.gov/learning-resources/nasa-student-launch/,"Design, build, test, and launch high-powered rockets for NASA Student Launch challenge. Middle and high school teams compete in engineering design aligned with NASA research. This Competition focuses ..."
15,PLTW Launch - Modeling and Analysis,Other,Engineering,Low,School-based,K-5,0.213,https://www.pltw.org/our-programs/pltw-launch/launch-modules/modeling-and-analysis,Students learn to model real-world phenomena and analyze relationships between variables using mathematical thinking and engineering design process to solve problems. This Elementary Program focuses o...
16,Mathematics competition,Competition,Mathematics,Low,School-based,6-12,0.200,https://www.artofproblemsolving.com/wiki/index.php/Mathematics_competitions,Mathematics competitionsare contests that typically challenge topmathematicsstudents to solve problems more difficult than those typically tested bystandardized testsor in the classroom. Math competit...
