rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Pioneer Academics - Physics and Quantum Mechanics,Other,Other STEM,High,Online,11-12,0.822,https://pioneeracademics.com/subjects/,"Research in theoretical or experimental physics. Work with physics professor on topics like quantum mechanics, particle physics, condensed matter, or thermodynamics. Explore fundamental questions abou..."
2,Stanford Pre-Collegiate Physics,Summer Program,Mathematics,High,Residential,9-12,0.513,https://summerinstitutes.spcs.stanford.edu/,"Advanced physics topics beyond high school curriculum including modern physics, quantum mechanics, and relativity. Laboratory experiments, problem-solving, and mathematical modeling. Taught by Stanfor..."
3,IXL Science - Physics,Learning Platform,Computer Science,High,Online,9-12,0.488,https://www.ixl.com/science/physics,"High school physics covering 400+ skills. Mechanics, energy, waves, electricity, magnetism, and modern physics. Mathematical problem-solving and conceptual understanding. This Learning Platform focuse..."
4,Physics Bowl Division 2,Other,Physics,Low,School-based,9-12,0.475,https://www.aapt.org/programs/physicsbowl/,"Advanced division for students who have completed honors or AP physics courses. 40 challenging multiple choice questions in 45 minutes. Covers advanced topics including calculus-based mechanics, elect..."
5,USA Physics Olympiad (USAPhO),Other,Physics,Low,School-based,9-12,0.447,https://www.aapt.org/physicsteam/,"Second round of physics olympiad for top F=ma performers. Two 90-minute free-response exams with challenging physics problems requiring detailed solutions. Tests deep understanding of mechanics, elect..."
6,Polygence - Physics and Mathematics,Mentorship Program,Other STEM,High,Online,8-12,0.443,https://www.polygence.org/programs,"Research mentorship in physics, mathematics, and related fields. Explore theoretical physics, applied mathematics, astrophysics, or computational physics. Projects may involve mathematical modeling, p..."
7,F=ma Exam (USA Physics Olympiad Qualifier),Other,Physics,Low,Online,9-12,0.436,https://www.aapt.org/physicsteam/,"First round of USA Physics Olympiad competition. 75-minute, 25-question exam focusing on mechanics and problem-solving. Tests conceptual understanding and mathematical skills. Free online exam for all..."
8,Physics: Mechanics and Waves,Other,Physics,High,Online,9-12,0.434,https://cty.jhu.edu/programs/online/courses/physics/mechanics,"Advanced study of classical mechanics, oscillations, and wave phenomena with mathematical modeling and laboratory simulations. This Academic Program focuses on Physics and serves grade 9-12 students. ..."
9,Physics Bowl Division 1,Other,Physics,Low,School-based,9-10,0.427,https://www.aapt.org/programs/physicsbowl/,"Division for students in their first physics course (typically physics or honors physics). 40 multiple choice questions in 45 minutes covering fundamental physics concepts. Tests mechanics, waves, ele..."
10,Physics Bowl,Other,Physics,Low,School-based,9-12,0.411,https://www.aapt.org/programs/physicsbowl/,"Annual 45-minute, 40-question timed multiple choice competition testing physics knowledge. Covers mechanics, electricity and magnetism, waves, optics, modern physics, and more. Two divisions: Division..."
11,Gizmos - Newton's Laws of Motion,Learning Platform,Other STEM,Medium,Online,8-11,0.401,https://gizmos.explorelearning.com/,"Experiment with forces, mass, and acceleration. Simulate collisions and predict motion outcomes. Grades 8-11 develop physics problem-solving with Newton's laws. This Learning Platform focuses on Physi..."
12,High School Physics Photo Contest,Other,Physics,Low,Online,9-12,0.394,https://www.aapt.org/programs/contests/,Annual photo contest showcasing physics phenomena captured by high school students. Submit original photographs demonstrating physics principles with written explanations. Categories include mechanics...
13,AP Physics 1: Mechanics,Online Course,Physics,Low,Online,11-12,0.390,https://www.edx.org/learn/physics/rice-university-ap-physics-1-mechanics,"Rice University course covering classical mechanics for AP Physics 1 exam. Kinematics, Newton's laws, energy, momentum, rotational motion, and waves. Algebra-based physics with hands-on problem-solvin..."
14,Physics Lab,Competition,Physics,Low,In-person,9-12,0.332,https://www.soinc.org/high-school-events-2024,"Hands-on physics laboratory event testing experimental skills and understanding of physical principles. Includes mechanics, waves, and thermodynamics. This Science Competition focuses on Physics and s..."
15,Brilliant.org Physics Fundamentals,Online Course,Physics,Low,Online,9-12,0.326,https://brilliant.org/courses/physics/,"Interactive physics covering motion, forces, energy, and momentum. Visual simulations and interactive experiments. Build physics intuition through problem-solving. Algebra-based mechanics for high sch..."
16,Introduction to Physics,Online Course,Physics,Low,Online,9-12,0.323,https://www.coursera.org/learn/phys-1,"University of Virginia course covering mechanics, energy, momentum, and basic physics principles. Algebra-based physics suitable for high school students. Clear explanations and problem-solving practi..."
17,Garcia Research Scholars - Physics and Astronomy Track,Other,Other STEM,Low,In-person,11-12,0.279,https://www.stonybrook.edu/commcms/garcia/,"Research in theoretical or experimental physics, astronomy, or astrophysics. Study particle physics, condensed matter, optics, or cosmology. Use computational modeling, laboratory experiments, or tele..."
18,"Physics Scholar Award - $6,000",Scholarship,Computer Science,Low,Online,11-12,0.278,https://www.niche.com/colleges/scholarships/stem/,"Recognition for students excelling in physics coursework or physics-related projects. Essay on physics concept application required. This Scholarship focuses on Physics, Science and serves grade 10-12..."
19,University of Illinois RISE Physics and Astronomy,Research Opportunity,Other STEM,Medium,In-person,11-12,0.270,https://www.riseprograms.org/programs,8-week summer research program in physics and astronomy at University of Illinois Urbana-Champaign. High school students conduct research using observatory facilities or physics laboratories. Projects...
20,US Physics Team Training Camp,Other,Physics,Low,Residential,9-12,0.250,https://www.aapt.org/physicsteam/,"Two-week intensive residential training for top 20 USAPhO students. Advanced physics lectures, problem-solving sessions, and laboratory work. Theoretical and experimental exams to select 5-member US P..."
