rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Polygence - Environmental Science and Sustainability,Mentorship Program,Biology,High,Online,8-12,0.601,https://www.polygence.org/programs,"Research mentorship in environmental science, climate change, and sustainability. Explore ecology, conservation, renewable energy, or environmental policy. Projects may involve data analysis, climate ..."
2,TASP - Environmental Studies and Sustainability Seminar,Summer Program,Biology,Low,In-person,9-12,0.547,https://www.tellurideassociation.org/our-programs/summer-program-juniors-tasp/,"TASP seminar exploring environmental science, climate change, conservation, and sustainability. Examine ecological systems, environmental policy, and human impacts. Develop environmental literacy and ..."
3,Pioneer Academics - Environmental Science and Climate Change,Other,Biology,High,Online,11-12,0.505,https://pioneeracademics.com/subjects/,"Research addressing environmental challenges and climate science. Work with environmental science professor on sustainability, climate modeling, conservation, or renewable energy. Analyze environmenta..."
4,Stanford Pre-Collegiate Environmental Science,Summer Program,Biology,High,Residential,9-12,0.365,https://summerinstitutes.spcs.stanford.edu/,"Study environmental challenges, sustainability, and climate science. Field work, laboratory research, and data analysis. Explore Stanford sustainability initiatives and environmental research. Topics ..."
5,Duke RISE Environmental Science Research,Research Opportunity,Biology,High,In-person,11-12,0.359,https://www.riseprograms.org/programs,"6-week environmental science research program at Duke University for rising high school seniors. Conduct field and laboratory research on climate change, ecology, or environmental policy. Work with Du..."
6,Ornithology,Competition,Biology,Low,In-person,9-12,0.355,https://www.soinc.org/high-school-events-2024,"Students identify birds, understand bird behavior, ecology, and conservation. Includes anatomy, migration patterns, and habitat requirements. This Science Competition focuses on Biology, Ecology and s..."
7,Borneo Rainforest Conservation Expedition,Other,Biology,Prohibitive,International,9-12,0.318,https://www.nationalgeographic.com/expeditions/student-expeditions/borneo/,"Experience tropical rainforest biodiversity while contributing to orangutan conservation efforts. Students conduct primate research, learn about deforestation impacts, and engage with local communitie..."
8,Amplify Science 3 - Environments and Survival,Workshop/Training,Biology,Low,Classroom,9-12,0.314,https://amplify.com/programs/amplify-science,"Study how organisms survive in different environments. Investigate adaptations, habitat requirements, and environmental changes. Design solutions for habitat protection. Field observations and digital..."
9,PBS Kids - Splash and Bubbles: Coral Reef Exploration,Learning Platform,Biology,Low,Online,PreK-2,0.298,https://pbskids.org/games/science/,"Marine biology and ocean science with underwater friends. Explore coral reefs, identify sea creatures, and learn ocean ecosystems. Ages 4-7 discover marine life, habitats, and conservation. This Learn..."
10,NOAA Climate Explorer,Other,Data Science,Low,Online,8-12,0.295,https://toolkit.climate.gov/climate-explorer2/,"Interactive online tool and educational program for students to explore climate data, create visualizations, and understand climate patterns and trends. This Online Program focuses on Environmental Sc..."
11,"Climate Science Scholarship - $6,500",Scholarship,Earth Sciences,Low,Online,11-12,0.278,https://www.niche.com/colleges/scholarships/stem/,"Scholarship for students focused on climate change, meteorology, or atmospheric science. Essay on climate action required. This Scholarship focuses on Climate Science, Environmental Science, Meteorolo..."
12,Sustainability and Technology,Online Course,Earth Sciences,Low,Online,9-12,0.275,https://skillsbuild.org/students/course-catalog,"Explore how technology addresses environmental challenges and promotes sustainability. Learn about green computing, renewable energy systems, and sustainable technology practices. Understand the role ..."
13,Climate Science High School Scholarship,Scholarship,Earth Sciences,Low,Online,11-12,0.273,https://www.petersons.com/climate-science-hs,"$3,500 award for climate science students. For high school students studying climate change and atmospheric science. This Scholarship focuses on Climate Science, Environmental Science, Meteorology and..."
14,Amplify Science 3 - Weather and Climate,Workshop/Training,Data Science,Medium,Classroom,9-12,0.270,https://amplify.com/programs/amplify-science,Investigate weather patterns and climate differences. Collect and analyze weather data over time. Study how climate affects living things. Digital weather simulations and data graphing. 8-10 weeks. Th...
15,Mystery Science - 3rd Grade: Weather and Climate,Learning Platform,Data Science,Low,Classroom,3,0.260,https://mysteryscience.com/school/overview,"Investigate weather patterns and climate zones. Track temperature, precipitation, and wind over time. Video lessons on meteorology and climate science. Build weather instruments and analyze data. This..."
16,Climate Science High School Scholarship,Scholarship,Earth Sciences,Low,Online,11-12,0.260,https://www.scholarships.com/climate-science-hs,"$2,500 scholarship for climate science students. For high school students studying climate change, meteorology, or atmospheric science. This Scholarship focuses on Climate Science, Environmental Scien..."
17,EPA Climate Change Education Resources,Other,Earth Sciences,Low,Online,K-12,0.259,https://www.epa.gov/climate-change-education-resources,"Educational materials, activities, and resources for students to learn about climate science, impacts, and solutions, including interactive tools and lesson plans. This Educational Program focuses on ..."
18,President's Environmental Youth Awards,Other,Earth Sciences,Low,National,K-12,0.242,https://www.epa.gov/education/presidents-environmental-youth-awards,"Recognition program for K-12 students and youth organizations demonstrating environmental stewardship through projects that promote awareness, conservation, and environmental protection. This Competit..."
19,STEMfinity Climate Science Education,Learning Platform,Data Science,Low,Online,6-12,0.236,https://www.stemfinity.com/STEM-Education,"Learn about climate change, greenhouse effect, and environmental impact through data analysis and modeling activities. This Learning Platform focuses on Environmental Science, Climate Science, Data Sc..."
20,NOAA Marine Debris Monitoring Programs,Other,Earth Sciences,Low,Field-based,6-12,0.229,https://marinedebris.noaa.gov/research/monitoring,Citizen science programs where students and communities monitor and collect data on marine debris to support NOAA research and conservation efforts. This Citizen Science focuses on Environmental Scien...
