rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Polygence - Environmental Science and Sustainability,Mentorship Program,Biology,High,Online,8-12,0.672,https://www.polygence.org/programs,"Research mentorship in environmental science, climate change, and sustainability. Explore ecology, conservation, renewable energy, or environmental policy. Projects may involve data analysis, climate ..."
2,Cappex - Environmental Science Scholarship,Scholarship,Biology,Low,Virtual,11-12,0.669,https://www.cappex.com/scholarships/science/environmental-science,"$2,500 scholarship for students passionate about environmental science and sustainability. Must submit essay on environmental challenges and solutions. Community service in environmental causes encour..."
3,Stanford Pre-Collegiate Environmental Science,Summer Program,Biology,High,Residential,9-12,0.589,https://summerinstitutes.spcs.stanford.edu/,"Study environmental challenges, sustainability, and climate science. Field work, laboratory research, and data analysis. Explore Stanford sustainability initiatives and environmental research. Topics ..."
4,EPA Green Schools Program,Other,Earth Sciences,Low,School-based,K-12,0.549,https://www.epa.gov/education/green-schools-program,"Program helping schools reduce environmental impact through energy conservation, waste reduction, and sustainable practices while providing hands-on learning opportunities. This School Program focuses..."
5,Duke RISE Environmental Science Research,Research Opportunity,Biology,High,In-person,11-12,0.542,https://www.riseprograms.org/programs,"6-week environmental science research program at Duke University for rising high school seniors. Conduct field and laboratory research on climate change, ecology, or environmental policy. Work with Du..."
6,"Environmental Science Scholarship - $5,000",Scholarship,Biology,Low,Online,11-12,0.537,https://www.niche.com/colleges/scholarships/stem/,"Award for students passionate about environmental science and sustainability. Essay on environmental impact project or research required. This Scholarship focuses on Environmental Science, Biology, Ec..."
7,Sustainability and Technology,Online Course,Earth Sciences,Low,Online,9-12,0.533,https://skillsbuild.org/students/course-catalog,"Explore how technology addresses environmental challenges and promotes sustainability. Learn about green computing, renewable energy systems, and sustainable technology practices. Understand the role ..."
8,Raising Student Voice - Youth Innovation Challenge,Competition,Engineering,Low,Online,6-12,0.504,https://www.raisingstudentvoice.com/competitions/innovation-challenge,"Competition focused on student-led innovation projects addressing climate change, sustainability, and environmental issues. Open to middle and high school students nationwide. This Competition focuses..."
9,Environmental Science High School Award,Scholarship,Biology,Low,Online,11-12,0.474,https://www.chegg.com/scholarships/environmental-hs,"$2,500 scholarship for environmental advocates. Supporting students passionate about conservation and sustainability. This Scholarship focuses on Environmental Science, Biology, Ecology and serves gra..."
10,Introduction to Environmental Science,Online Course,Earth Sciences,Low,Online,9-12,0.473,https://www.coursera.org/learn/environmental-science,"Dartmouth course exploring environmental challenges including climate change, biodiversity, and sustainability. Interdisciplinary approach combining biology, chemistry, and social sciences. Great for ..."
11,Environmental Science High School Scholarship,Scholarship,Biology,Low,Online,11-12,0.470,https://www.unigo.com/scholarships/environmental-hs,"$2,500 award for environmental students. Supporting students passionate about conservation and sustainability. This Scholarship focuses on Environmental Science, Biology, Ecology and serves grade 9-12..."
12,Environmental Science High School Scholarship,Scholarship,Biology,Low,Online,11-12,0.467,https://www.scholarships.com/environmental-hs,"Supporting high school environmentalists. $2,000 award for students passionate about environmental conservation and sustainability. This Scholarship focuses on Environmental Science, Biology, Ecology ..."
13,Raising Student Voice - Environmental Solutions Competition,Competition,Biology,Low,Hybrid,6-12,0.466,https://www.raisingstudentvoice.com/competitions/environmental,"Competition challenging students to develop innovative solutions to environmental challenges including pollution, conservation, and climate change. This Competition focuses on Environmental Science, E..."
14,Introduction to Environmental Science,Online Course,Earth Sciences,Low,Online,9-12,0.460,https://www.edx.org/learn/environmental-science,"Dartmouth College course exploring environmental challenges and solutions. Topics include climate change, biodiversity, sustainability, and conservation. Interdisciplinary approach combining biology, ..."
15,Chemists Celebrate Earth Week,Other,Engineering,Low,Hybrid,K-12,0.459,https://www.acs.org/education/outreach/celebrating-chemistry-editions.html,"Annual environmental chemistry celebration promoting environmental stewardship and chemistry applications to sustainability. Community events, workshops, and activities organized by local ACS sections..."
16,High School Environmental Science Scholarship,Scholarship,Biology,Low,Online,11-12,0.454,https://www.fastweb.com/college-scholarships/environmental-science-hs,"For high school students dedicated to environmental conservation and sustainability through scientific study. This Scholarship focuses on Environmental Science, Biology, Chemistry and serves grade 12-..."
17,Environmental Protection Agency STEM Scholarship,Scholarship,Biology,Low,Online,11-12,0.447,https://bigfuture.collegeboard.org/scholarships,"$4,000 scholarship for high school students pursuing environmental science or engineering. For students committed to environmental protection. This Scholarship focuses on Environmental Science, Enviro..."
18,DMA Environmental Tech & Sustainability,Camp,Engineering,High,In-person,6-8,0.445,https://www.digitalmediaacademy.org/summer-camps,"Use technology to solve environmental challenges. Learn about renewable energy and sustainable design. This Camp focuses on Environmental Science, Engineering, Technology and serves grade 6-8 students..."
19,Environmental Science High School Scholarship,Scholarship,Biology,Low,Online,11-12,0.442,https://www.petersons.com/environmental-hs,"$2,500 scholarship for environmental advocates. For students passionate about conservation, ecology, and sustainability. This Scholarship focuses on Environmental Science, Biology, Ecology and serves ..."
20,Environmental Science and Ecology,Online Course,Biology,Medium,Online,6-8,0.436,https://outschool.com/classes/science,"Study ecosystems, conservation, and environmental issues. Ages 11-15 explore sustainability and climate science. This Online Class focuses on Environmental Science, Biology, Ecology and serves grade 6..."
