rank,name,category,stem_field,financial_barrier,location_type,target_grade,similarity_score,url,description
1,Biomedical Engineering for Kids,Other,Biology,Medium,In-person,K-8,0.681,https://www.engineeringforkids.com/programs/,"Introduction to medical engineering and human body systems. Design prosthetics, learn about medical devices, and explore how engineering helps people. This Afterschool Program focuses on Engineering, ..."
2,Stanford Pre-Collegiate Biomedical Sciences,Summer Program,Biology,High,Residential,10-12,0.640,https://summerinstitutes.spcs.stanford.edu/,"Exploration of biomedical research, biotechnology, and medical sciences. Laboratory techniques, research methods, and ethical issues in biomedicine. Visit Stanford medical facilities and research labs..."
3,PLTW Biomedical Science - Medical Interventions,Other,Engineering,Medium,School-based,9-12,0.633,https://www.pltw.org/our-programs/pltw-biomedical-science/pltw-biomedical-science-courses/medical-interventions,"Students investigate medical interventions and follow patient cases to learn about diagnosis, treatment, and prevention of disease using current medical technologies. This Biomedical Program focuses o..."
4,Stanford Pre-Collegiate Medical Sciences,Summer Program,Biology,High,Residential,10-12,0.559,https://summerinstitutes.spcs.stanford.edu/,"Introduction to medical careers and healthcare through lectures, simulations, and clinical observation. Learn anatomy, physiology, and medical ethics. Interact with Stanford medical students and physi..."
5,Cappex - Biomedical Engineering Scholarship,Scholarship,Biology,Low,Virtual,11-12,0.529,https://www.cappex.com/scholarships/engineering/biomedical-engineering,"$3,000 scholarship for students interested in biomedical engineering or medical devices. Must demonstrate interest in healthcare technology through research, volunteering, or projects. This Scholarshi..."
6,Raising Student Voice - Biomedical Innovation Competition,Competition,Biology,Low,Hybrid,9-12,0.528,https://www.raisingstudentvoice.com/competitions/biomedical,"Competition focused on biomedical engineering and health sciences. Students develop medical devices, health technologies, or biological research projects. This Competition focuses on Biomedical Engine..."
7,PLTW Biomedical Science - Biomedical Innovation,Other,Engineering,Medium,School-based,9-12,0.501,https://www.pltw.org/our-programs/pltw-biomedical-science/pltw-biomedical-science-courses/biomedical-innovation,"Capstone course where students design innovative solutions to real biomedical challenges, working with medical professionals and learning about the product development cycle. This Biomedical Program f..."
8,Bold.org - Biomedical Science Scholarship,Scholarship,Biology,Low,Virtual,11-12,0.499,https://bold.org/scholarships/science/,"$1,000-$5,000 scholarship for students interested in biomedical sciences, medical research, or healthcare. Open to students pursuing biology, biochemistry, genetics, or pre-medicine. Essay describing ..."
9,Columbia RISE Biomedical Research,Research Opportunity,Engineering,Low,In-person,11-12,0.477,https://www.riseprograms.org/programs,"8-week summer biomedical research program at Columbia University Medical Center for NYC-area high school students. Work in medical research laboratories studying disease mechanisms, drug development, ..."
10,Biomedical Engineering,Summer Program,Biology,Prohibitive,Residential,9-12,0.474,https://cty.jhu.edu/programs/on-campus/courses/engineering/biomedical,"Hands-on exploration of biomedical engineering principles including biomaterials, medical device design, and tissue engineering in a laboratory setting. This Summer Program focuses on Engineering, Bio..."
11,NYLF Biomedical Science,Other,Biology,High,Regional,10-12,0.460,https://www.nylf.org/,"Program exploring intersection of medicine, biology, and technology. Students learn about biomedical research, biotechnology, genetic engineering, and medical innovations. Includes laboratory work, re..."
12,University of Pennsylvania RISE Bioengineering,Research Opportunity,Biology,High,In-person,11-12,0.445,https://www.riseprograms.org/programs,"6-week bioengineering research program at UPenn for high school students interested in medical devices, tissue engineering, or computational biology. Work in Penn bioengineering laboratories on cuttin..."
13,NYLF Medicine,Other,Biology,High,Regional,10-12,0.445,https://www.nylf.org/programs/medicine,"Nine-day leadership development program exploring medical careers and healthcare systems. Students participate in hands-on medical simulations, interact with healthcare professionals, visit medical fa..."
14,PLTW Biomedical Science - Principles of Biomedical Sciences,Other,Biology,Medium,School-based,9-12,0.430,https://www.pltw.org/our-programs/pltw-biomedical-science/pltw-biomedical-science-courses/principles-biomedical-sciences,"Students investigate biomedical science careers while exploring concepts of human medicine, public health, and medical research through hands-on projects and case studies. This Biomedical Program focu..."
15,Pioneer Academics - Biomedical Science and Medicine,Other,Engineering,High,Online,11-12,0.414,https://pioneeracademics.com/subjects/,"Research in biomedical sciences exploring disease mechanisms, treatments, or medical technology. Work with medical school professor on topics like cancer biology, immunology, or drug development. Stud..."
16,University of Michigan Engineering Summer Camps,Camp,Engineering,Medium,In-Person,11-12,0.407,https://www.engin.umich.edu/outreach/summer-camps/,"Week-long camps exploring engineering fields through hands-on activities. Includes biomedical, computer, and environmental engineering options. University lab access. This Camp focuses on Biomedical E..."
17,PLTW Biomedical Science - Human Body Systems,Other,Engineering,Medium,School-based,9-12,0.400,https://www.pltw.org/our-programs/pltw-biomedical-science/pltw-biomedical-science-courses/human-body-systems,"Students examine interactions of human body systems and explore identity, communication, and homeostasis through projects involving bioinformatics and engineering design. This Biomedical Program focus..."
18,Johns Hopkins School of Medicine - Summer Biomedical Research Program for HS,Internship,Engineering,Low,In-Person,11-12,0.399,https://www.hopkinsmedicine.org/som/education-programs/high-school-summer-research,"Rigorous 8-week research experience at Johns Hopkins for exceptional high school students. Interns work in medical school laboratories conducting research in areas like neuroscience, genetics, public ..."
19,Garcia Research Scholars - Engineering Track,Other,Engineering,Low,In-person,11-12,0.396,https://www.stonybrook.edu/commcms/garcia/,"Research in mechanical, electrical, biomedical, or environmental engineering. Design experiments, build prototypes, and test engineering solutions. Use CAD software, fabrication equipment, and testing..."
20,Virginia Tech Engineering Summer Camps,Camp,Engineering,Medium,In-Person,6-12,0.387,https://eng.vt.edu/summer-camps,"Multiple week-long camps for grades 6-12. Topics include aerospace, biomedical, computer, and environmental engineering. Mix of design, hands-on building, and facility tours. This Camp focuses on Aero..."
